Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1783,0.4347604541449028,0.04949898605521868,0.02438511730863264,-0.15428754682195508,-0.0857375039261758,9.473055378792298e-07,0.7027048054919908,0.46800480769230773,0.7514509762082576,0.6138519146531016,0.7061201501877347,0.7838736681887366
1784,0.4349027125807132,0.050347248741839844,0.02477942236242305,0.15549997215436429,0.08853444242491368,7.761257853516773e-07,0.7286231180184557,0.5830205278592375,0.7779137187230372,0.6138519146531016,0.7061201501877347,0.7972251815980629
1785,0.43677929271073973,0.049362963831227916,0.024327423267980493,0.15410922057650042,0.08527638703854602,9.753607629199479e-07,0.6926270022883295,0.5525835858521555,0.7691897233201581,0.6138519146531016,0.7101716227102378,0.7922503160556258
1786,0.43655105995138754,0.04666270198492271,0.02305630709846215,0.15012223913557474,0.07921383386020069,1.8570267252165076e-06,0.7185721223895095,0.5549980052660974,0.7496579057154775,0.6138519146531016,0.7061201501877347,0.813484790142472
1787,0.4347176922644698,0.053144327772255834,0.026088413725847852,-0.15945249102883743,-0.09792308462878516,4.009933732537366e-07,0.6757872544035408,0.5830205278592375,0.7624975994878908,0.6138519146531016,0.7072644830897258,0.7808316008316009
1788,0.43458976441688385,0.050926954507632044,0.02503497923183354,-0.1562802574663738,-0.09185297215719997,6.821417701688015e-07,0.7042605176527438,0.5830205278592375,0.7605423445974133,0.6138519146531016,0.7101716227102378,0.8057115987460814
1789,0.43458976441688385,0.053692953650118905,0.026376438559240677,-0.1603078859900697,-0.09914013084039813,3.468466523926666e-07,0.6885594787355817,0.40492396958783516,0.7648562221988722,0.6138519146531016,0.7061201501877347,0.7941325871717606
1790,0.4355943056024693,0.0542629445865026,0.0265701965498419,-0.160880410160382,-0.10248889774564375,3.1461937381702405e-07,0.6673518172931662,0.15133062880324544,0.7514509762082576,0.6138519146531016,0.7061201501877347,0.8012129430468531
1791,0.43655105995138754,0.04791582936296863,0.023638578981000757,-0.151962865691377,-0.0807483703878866,1.382298598038747e-06,0.7083334800857034,0.5830205278592375,0.7514509762082576,0.6138519146531016,0.7061201501877347,0.7896828530069746
1792,0.43677929271073973,0.04905596275042412,0.024189498662695406,0.1536821279443069,0.08433147538356701,1.0458375112747657e-06,0.6957388079787076,0.5830205278592375,0.7714267834793492,0.6138519146531016,0.7061201501877347,0.8076238902340598
